Dataset,Mode,Scheduler,Accuracy,Macro-F1,Upload MB,Download MB,Predicted time s,Predicted energy J,Epsilon/accounting,Interpretation
MNIST,Local-only,mobile,52.12±4.21,0.4159±0.0485,0.0000,0.0000,16.24,5.92,not DP-accounted,local client training reference
MNIST,Stats-only,mobile,51.59±4.74,0.4104±0.0526,0.0148,0.0000,16.25,5.98,140.69,zero-downlink clipped summary scheduling
MNIST,stats-transfer-M,mobile,51.29±3.85,0.4056±0.0422,0.0148,0.0150,16.59,6.88,140.69,masked transfer with mobile-aware selection
MNIST,stats-transfer-R,random,56.11±3.99,0.4459±0.0461,0.0148,0.0150,23.27,6.87,100.92,masked transfer with broader random coverage
CIFAR-10,Local-only,mobile,26.00,0.1589,0.0000,0.0000,58.98,10.36,not DP-accounted,local client training reference
CIFAR-10,Stats-only,mobile,25.92,0.1563,0.0197,0.0000,58.99,10.36,194.34,zero-downlink clipped summary scheduling
CIFAR-10,stats-transfer-M,mobile,25.47,0.1487,0.0197,0.0199,59.51,10.45,194.34,masked transfer with mobile-aware selection
CIFAR-10,stats-transfer-R,random,29.47,0.1787,0.0197,0.0199,59.51,9.82,129.58,masked transfer with broader random coverage
