experiment_dir,experiment_name,dataset,mode,scheduler,scheduler_ablation,seed,partition_seed,arch_seed,split_protocol,rounds,participation_rate,noise_multiplier,dp_enabled,summary_mode,transfer_package_mode,accounting_releases_per_round,profile_csv,final_accuracy,final_macro_f1,uplink_mb,downlink_mb,time_s,energy_j,epsilon_max,epsilon_mean,num_selected_clients
outputs/palmfl_v8_mnist_stats_transfer_mobile_no_noise_seed44_indsplit_trace_20260419_191147,palmfl_v8_mnist_stats_transfer_mobile_no_noise_seed44_indsplit_trace_20260419_191147,mnist,PALM-transfer-no-noise,mobile,,44,44,44,independent,15,0.4,0.0,false,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.48875000000000013,0.3781605515629053,0.01483917236328125,0.01499176025390625,23.438073888302828,3.162307731628418,0.0,0.0,4
outputs/palmfl_v8_mnist_stats_transfer_mobile_sigma05_20260417_144921,palmfl_v8_mnist_stats_transfer_mobile_sigma05_20260417_144921,mnist,PALM-transfer,mobile,,42,42,42,independent,15,0.4,0.5,true,full,full,0,,0.49819,0.40882561951875684,0.01483917236328125,0.01499176025390625,11.709684098704457,6.930861815046403,146.196004342964,89.54266437290684,4
outputs/palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed42_indsplit_trace_20260419_000947,palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed42_indsplit_trace_20260419_000947,mnist,PALM-transfer,mobile,,42,42,42,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.53296875,0.4246794359758496,0.01483917236328125,0.01499176025390625,23.438073888302828,7.8191678485870355,146.196004342964,81.28104177152711,4
outputs/palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed43_fixedsplit_cuda_20260418_181542,palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed43_fixedsplit_cuda_20260418_181542,mnist,PALM-transfer,mobile,,43,42,42,fixed,15,0.4,0.5,true,full,full,0,,0.47515625000000006,0.37045494355261327,0.01483917236328125,0.01499176025390625,11.693918086403132,6.918428536938162,137.93356943375483,89.58445830125719,4
outputs/palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed43_indsplit_trace_20260419_003412,palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed43_indsplit_trace_20260419_003412,mnist,PALM-transfer,mobile,,43,43,43,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.5371874999999999,0.4348779497668147,0.01483917236328125,0.01499176025390625,15.795811362822905,5.733960887908935,137.93356943375483,81.22864733124788,4
outputs/palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed44_fixedsplit_cuda_20260418_182015,palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed44_fixedsplit_cuda_20260418_182015,mnist,PALM-transfer,mobile,,44,42,42,fixed,15,0.4,0.5,true,full,full,0,,0.49874999999999997,0.39984509348869324,0.01483917236328125,0.01499176025390625,18.18351258530476,9.391858840378626,154.37898078868042,89.25878552208968,4
outputs/palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed44_indsplit_trace_20260419_010004,palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed44_indsplit_trace_20260419_010004,mnist,PALM-transfer,mobile,,44,44,44,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.46843749999999995,0.357254134491086,0.01483917236328125,0.01499176025390625,10.549374023008719,7.078469184875488,137.93356943375483,80.87979515432538,4
outputs/palmfl_v8_mnist_stats_transfer_random_20260417_143208,palmfl_v8_mnist_stats_transfer_random_20260417_143208,mnist,PALM-transfer,random,,42,42,42,independent,15,0.4,0.0,true,full,full,0,,0.58183,0.47280638217926024,0.01483917236328125,0.01499176025390625,11.709684098704457,9.669153936487504,inf,inf,4
outputs/palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed42_indsplit_trace_20260419_174544,palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed42_indsplit_trace_20260419_174544,mnist,PALM-transfer,random,no_deficit,42,42,42,independent,15,0.4,0.5,true,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.55140625,0.4498909056186676,0.01483917236328125,0.01499176025390625,24.051599008065683,5.813370676040649,95.015760009536,76.04376034443574,4
outputs/palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed43_indsplit_trace_20260419_185231,palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed43_indsplit_trace_20260419_185231,mnist,PALM-transfer,random,no_deficit,43,43,43,independent,15,0.4,0.5,true,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.59578125,0.48354696333408353,0.01483917236328125,0.01499176025390625,35.221206418423314,8.001147473335266,103.8677440880733,75.64042888808177,4
