experiment_dir,dataset,mode,scheduler,scheduler_ablation,split_protocol,seed,partition_seed,arch_seed,noise_multiplier,dp_enabled,rounds,client_id,arch_name,num_samples,unique_labels,accuracy,macro_f1,loss
outputs/fedmd_mnist_proxy_seed43_indsplit_trace_20260419_004742,mnist,FedMD-proxy,mobile,,independent,43,43,43,0.0,false,15,7,tiny_mobilenet,6099,3,0.3108,0.15343835949897766,2.7149783126831055
outputs/fedmd_mnist_proxy_seed43_indsplit_trace_20260419_004742,mnist,FedMD-proxy,mobile,,independent,43,43,43,0.0,false,15,8,small_cnn,4670,10,0.5759,0.4634726643562317,1.408435165977478
outputs/fedmd_mnist_proxy_seed43_indsplit_trace_20260419_004742,mnist,FedMD-proxy,mobile,,independent,43,43,43,0.0,false,15,9,tiny_resnet,7456,9,0.599,0.4584164619445801,1.8994784097671509
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,0,wide_cnn,5044,7,0.0982,0.01788381114602089,2.312092569732666
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,1,tiny_resnet,8299,8,0.5705,0.44931918382644653,1.5437507862091064
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,2,small_cnn,3705,9,0.7134,0.6322132349014282,1.2390325204849244
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,3,tiny_resnet,2298,7,0.1135,0.020386170595884323,2.3027128299713135
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,4,tiny_mobilenet,5981,9,0.7103,0.6488299369812012,1.0629225149154664
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,5,small_cnn,8476,10,0.6854,0.6179471611976624,1.122910930633545
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,6,wide_cnn,7039,6,0.3881,0.26832133531570435,2.0480737380981444
